iter	RMSE
310	9.60469972
311	9.602295989
312	9.597621252
313	9.592215046
314	9.590008778
315	9.579671834
316	9.570309887
317	9.565451833
318	9.562723994
319	9.556408424
320	9.552002723
321	9.539519549
322	9.534572279
323	9.534088586
324	9.52768779
325	9.525549824
326	9.52106753
327	9.518661801
328	9.513581161
329	9.512466112
330	9.508452871
331	9.504413509
332	9.499860389
333	9.496436076
334	9.494141447
335	9.484475918
336	9.483711199
337	9.476644513
338	9.469518248
339	9.46057019
340	9.458381407
341	9.452431007
342	9.448893342
343	9.447087725
344	9.439846808
345	9.437706143
346	9.427911763
347	9.409970933
348	9.404329631
349	9.399657996
350	9.397800544
351	9.397464005
352	9.3957621
353	9.386677109
354	9.379050544
355	9.370699927
356	9.367476554
357	9.365732457
358	9.357020495
359	9.348187033
360	9.346553074
361	9.342048637
362	9.34079259
363	9.336658375
364	9.330605423
365	9.3300528
366	9.325308731
367	9.318843595
368	9.316810238
369	9.315797076
370	9.313391615
371	9.309362725
372	9.309014406
373	9.307105241
374	9.303244746
375	9.299826466
376	9.297069465
377	9.278119049
378	9.272754725
379	9.264464678
380	9.258384676
381	9.255399199
382	9.250130505
383	9.243163386
384	9.241535985
385	9.226571656
386	9.221419406
387	9.215974527
388	9.212568158
389	9.207375201
390	9.203896284
391	9.196106044
392	9.194308138
393	9.193758792
394	9.183206343
395	9.182691281
396	9.179912523
397	9.177492931
398	9.170151214
399	9.167534701
400	9.165202853
401	9.163977607
402	9.160203213
403	9.153281059
404	9.151701434
405	9.150467775
406	9.148752089
407	9.139389916
408	9.133781259
409	9.133338234
410	9.129292778
411	9.124256936
412	9.119027871
413	9.114202969
414	9.112964686
415	9.107644057
416	9.10312637
417	9.101243741
418	9.098896468
419	9.098643923
420	9.096578314
421	9.096336466
422	9.093301594
423	9.088800394
424	9.084722119
425	9.080693635
426	9.079518087
427	9.079219076
428	9.075010809
429	9.065038971
430	9.063647413
431	9.049984114
432	9.045414555
433	9.04225667
434	9.041067616
435	9.039419039
436	9.036237779
437	9.031071927
438	9.026042937
439	9.019203713
440	9.015538007
441	9.006087782
442	9.002603091
443	8.994528378
444	8.989106372
445	8.986556307
446	8.9853435
447	8.983872371
448	8.966824216
449	8.965736417
450	8.960759987
451	8.952106481
452	8.949659478
453	8.94665109
454	8.934741499
455	8.933843342
456	8.929817415
457	8.924810784
458	8.918956572
459	8.917188334
460	8.916370085
461	8.912986503
462	8.907028526
463	8.892876701
464	8.891355469
465	8.890686434
466	8.889489482
467	8.880320808
468	8.87687047
469	8.860387991
470	8.857921521
471	8.853000932
472	8.85257299
473	8.851061916
474	8.85008664
475	8.843975078
476	8.834054886
477	8.831000843
478	8.822534418
479	8.815942522
480	8.811951546
481	8.810031762
482	8.807238416
483	8.802705643
484	8.799715478
485	8.794222307
486	8.791436357
487	8.783641858
488	8.783194606
489	8.778464193
490	8.771787137
491	8.766851136
492	8.76455739
493	8.760091536
494	8.749167218
495	8.748103851
496	8.747316816
497	8.746685675
498	8.744876444
499	8.739815407
